factory_name,subscription_id,subscription_name,activity_type,count
maps-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,3
maps-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ForEach,1
maps-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Unknown,1
mido-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
mido-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,1
mm-test-df,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,1
monusine,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
monusine,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,IfCondition,1
monusine,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SetVariable,3
monusine,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Unknown,2
monusine,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Until,1
monusine,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,4
mweu-adf-d-kanchwala-001,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,1
nl-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Wait,1
nshetty-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ForEach,1
odoren-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,2
oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,6
oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,40
oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksSparkJar,1
oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ExecuteDataFlow,2
oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ExecutePipeline,3
oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,IfCondition,3
