activity_name,activity_type,activity_category,pipeline_name,factory_name,factory_type,subscription_id,subscription_name,ir_type,linked_service,depends_on
LookupCurrentChangeTrackingVersionActivity,Lookup,DataAccess,IncrementalCopyPipeline,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
IncrementalCopyActivity,Copy,DataMovement,IncrementalCopyPipeline,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
StoredProceduretoUpdateChangeTrackingActivity,SqlServerStoredProcedure,Transformation,IncrementalCopyPipeline,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
scoring,DatabricksNotebook,Transformation,stream-scoring-job,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Load To Bronze,DatabricksNotebook,Transformation,demo_dot,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Create Raw Delta,DatabricksNotebook,Transformation,office_hours_demo_pipeline,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Bronze to Gold,DatabricksNotebook,Transformation,office_hours_demo_pipeline,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Vaccum and  Zorder,DatabricksNotebook,Transformation,office_hours_demo_pipeline,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
ADF Notebook,DatabricksNotebook,Transformation,pipeline2,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
ExtractPDF,DatabricksNotebook,Transformation,ExtractPDF,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
RawToGold,DatabricksNotebook,Transformation,ExtractPDF,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
PushToSynapse,DatabricksNotebook,Transformation,ExtractPDF,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
secretTest,DatabricksNotebook,Transformation,secretTestPipeline,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Create Bronze Layer,DatabricksNotebook,Transformation,ProcessAirLineData,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Bronze To Gold,DatabricksNotebook,Transformation,ProcessAirLineData,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Optimize Tables,DatabricksNotebook,Transformation,ProcessAirLineData,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
CreateLookUpDelta,ExecuteDataFlow,Transformation,ProcessAirLineData,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
DeltaFlow_DataFlow,ExecuteDataFlow,Transformation,DeltaFlow_pipeline_Example,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
FullCopyActivity,Copy,DataMovement,FullCopyPipeline,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Notebook1,DatabricksNotebook,Transformation,pipeline1,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Trigger DAIS Demo from,DatabricksNotebook,Transformation,pipeline3,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
