name,type,factory_name,factory_type,subscription_id,subscription_name,linked_service_name,folder,schema_columns,parameter_count,pipelines_using_it
AzureSqlDatabaseExternal_ControlTable,AzureSqlTable,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,1,
sink_json_file,Json,nshetty-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,2,
AzureDatabricksDeltaLakeDataset2,AzureDatabricksDeltaLakeDataset,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,2,Delta-copyTo-fleetmaintenance2
Parquet1,Parquet,dthomfactorytest,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,
DelimitedText1,DelimitedText,dthomfactorytest,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,
JsonFromADLS,Json,adf-kuldeep-demo01,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,2,0,
AzureDatabricksDeltaLakeDataset1,AzureDatabricksDeltaLakeDataset,adf-csc168,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,DeltaLakeAccessUCDemo
DelimitedText1,DelimitedText,adf-csc168,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,1,0,DeltaLakeAccessUCDemo
RestResource1,RestResource,dthomfactorytest,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,
azuresqloutput,Parquet,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,
dbrookes_csv_sink,DelimitedText,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,9,1,dbrookes_sales_pipeline
DestinationDataset_fd9,AzureSqlTable,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,Copy_win_totals
AzureSQL_MaintenanceDemo_ADFTest,AzureSqlTable,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,4,0,005 - Ingest to Delta Lake via Copy
S_dbdemos_c360__churn_orders,AzureDatabricksDeltaLakeDataset,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,AjinkyaN_datasets,6,0,CopyDatabricksToADLS
NedParquet,Parquet,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,005 - Ingest to Delta Lake via Copy
D_dbdemos_c360__churn_orders,DelimitedText,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,AjinkyaN_datasets,0,0,CopyDatabricksToADLS
titanicblob,DelimitedText,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,mb-test
ds_sql_fleetmaintenance,AzureSqlTable,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,3,0,
Parquet2,Parquet,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,12,0,dbx_scb_aj_copy_convert
Parquet1,Parquet,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,12,0,dbx_scb_aj_copy_convert
dbrookes_csv_source,DelimitedText,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,1,dbrookes_sales_pipeline
SourceDataset_fd9,AzureDatabricksDeltaLakeDataset,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,Copy_win_totals
titanic,DelimitedText,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,mb-test
DelimitedText1,DelimitedText,adf-sash-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,
swdataset,DelimitedText,adf-sash-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,2,pipeline5
PipeWithRecordCntOutputDataset,DelimitedText,adf-sash-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,
SampleDataset_src,DelimitedText,adf-sash-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,2,0,
AzureSqlTable1,AzureSqlTable,adf-sash-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,7,0,
DelimitedText2,DelimitedText,adf-sash-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,
AzureSqlTable2,AzureSqlTable,adf-sash-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,5,0,
adls_source_table,Parquet,ronguerreroadf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,sqldb_to_delta
Binary2,Binary,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,Import Telemetry
CosmosDbSqlApiCollection1,CosmosDbSqlApiCollection,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,2,0,
Json1,Json,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,
SynapseScratch,AzureSqlDWTable,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,Extract Parquet to SQLDW
Binary1,Binary,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,Import Telemetry
telemetry,Binary,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,Import Telemetry 2
Json3,Json,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,2,0,
Json4,Json,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,
DestinationDataset_zxz,AzureSqlDWTable,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,13,0,CopyPipeline_zxz
SourceDataset_zxz,AzureSqlTable,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,13,0,CopyPipeline_zxz
Parquet1,Parquet,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,
