pipeline_name,factory_name,subscription_id,subscription_name,activity_type,count
pipeline4,peteh-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ForEach,1
pipeline4,peteh-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Lookup,1
pipeline5,adf-sash-demo,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,1
pipeline6,adf-sash-demo,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SetVariable,1
pipelineJay,Jay-CanadaLife,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
pipeline_orchestrate_sp,ADFLLMCOLLABRSA,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SqlServerStoredProcedure,3
pipeline_run_workflow,adf-onno-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Unknown,1
pipeline_table_ingestion,steven-psa-orchestration,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ForEach,1
pl_adriana,pmt-adf-west-us,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,DatabricksNotebook,1
pl_child_pipeline,amanpsdatafactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Wait,1
pl_databricks_demo_serverless,durak-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,3
pl_databricks_test,amanpsdatafactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,2
pl_ingest_ecdc_data,adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,ForEach,1
pl_ingest_ecdc_data,adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,Lookup,1
pl_ingest_population_data,adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,GetMetadata,1
pl_ingest_population_data,adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,IfCondition,1
pl_ingest_population_data,adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,Validation,1
pl_parent_pipeline,amanpsdatafactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ForEach,1
pl_process_cases_and_deaths_data,adf-adr,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,ExecuteDataFlow,1
re_use_pipe,adf-ut41f,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ForEach,1
re_use_pipe,adf-ut41f,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SetVariable,1
read_delta_dataset,amanpsdatafactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ForEach,1
read_delta_dataset,amanpsdatafactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SetVariable,2
read_delta_dataset,amanpsdatafactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,2
repsol_test,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksSparkJar,1
reynolds-pravindev-dbx-job,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
reynolds-pravindev-dbx-job,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Unknown,1
rs01_pwc_test_wf,adf-rohan-databricks,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,4
run-db-job,uday-satapathy-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SetVariable,1
run-db-job,uday-satapathy-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Until,1
run-db-job,uday-satapathy-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,1
run-db-job-serverless,uday-satapathy-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SetVariable,1
run-db-job-serverless,uday-satapathy-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Until,1
run-db-job-serverless,uday-satapathy-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,1
run-db-job-serverless-thru-sp,uday-satapathy-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SetVariable,1
run-db-job-serverless-thru-sp,uday-satapathy-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Until,1
run-db-job-serverless-thru-sp,uday-satapathy-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,1
